item_id,name,description,brand,product_url,image_url,image_url_thumb250,category_1,adult,availability,price,market_price,in_stock,attributes_1,attributes_2,attributes_3,attributes_4,attributes_5,available_purchase,shop_url,shop_name,inactive_time,create_time,update_time,tag_id_1,tag_id_2,tag_id_3,tag_id_4,tag_id_5
005e6f10-2066-11e5-a30a-00505699732d,ABC積木,邊玩樂邊學習！輕鬆學習26個英文字母和日文,,https://www.sba.com.tw/shop/shimarisu/product/BLOCK_ABCBLOCK_00000001,https://tshop.r10s.com/585/53d/aa34/3fed/607e/2036/637a/112ee5aae8005056ae6e5f.jpg,https://tshop.r10s.com/585/53d/aa34/3fed/607e/2036/637a/112ee5aae8005056ae6e5f.jpg?_ex=250x250,玩具與模型公仔>兒童玩具>教育玩具,No,new,1150,1080,in stock,,,,,,1,shimarisu,花栗鼠 Shimarisu Online Shop,,2015-07-02 10:56:56,2017-01-20 14:30:34,,,,,
262e6180-1b22-11e5-b037-005056ae2780,小雞手推車,具設計感與安全材質打造的優質玩具！,其他品牌,https://www.sba.com.tw/shop/shimarisu/product/BABYWALKER2015062501,https://tshop.r10s.com/aa2/d75/587f/e7de/60e4/1b6c/2150/1157e5bb8600505699679d.jpg,https://tshop.r10s.com/aa2/d75/587f/e7de/60e4/1b6c/2150/1157e5bb8600505699679d.jpg?_ex=250x250,玩具與模型公仔>兒童玩具>兒童/體能騎乘>滑板車,No,new,3800,,in stock,,,,,,1,shimarisu,花栗鼠 Shimarisu Online Shop,,2015-06-25 18:08:38,2020-02-18 21:16:40,,,,,
